ident,elevation_meters,latitude,longitude,iata_code
03MI,178.30800000000002,43.550899505615234,-83.86219787597656,
03MN,437.38800000000003,43.62519836425781,-95.22470092773438,
03MO,307.848,37.884499,-93.131599,
03MS,33.528,32.31880187988281,-90.8832015991211,
03MT,1091.184,47.267327,-111.71748,
03MU,266.3952,38.4925,-94.412498,
03N,1.2192,11.222219,169.851429,UTK
03NC,10.668000000000001,34.10430145263672,-77.9041976928711,
03ND,318.516,48.626399993896484,-97.8290023803711,
03NE,740.664,41.5463981628418,-99.3311996459961,
03NH,121.92,42.815399169921875,-71.12439727783203,
03NJ,109.72800000000001,40.668713,-74.410152,
03NM,2011.68,36.862377,-104.442853,
03NR,97.536,35.63027,-78.50392,
03NV,1865.3760000000002,40.58440017700195,-115.2979965209961,
03NY,28.956000000000003,40.958308,-72.717326,
03OH,176.78400000000002,41.416933,-83.018339,
03OI,271.272,41.420312,-81.599552,
03OK,271.272,36.041259,-96.161517,
03OL,375.5136,35.012334,-97.702735,
03OR,1018.032,45.85540008544922,-117.48400115966797,
03PA,60.0456,40.162899017333984,-75.4656982421875,
03PN,145.9992,41.066861,-76.180806,
03PR,298.704,39.065931,-94.938417,
03PS,320.04,40.849998,-77.905602,
03S,214.57920000000001,45.401629,-122.228771,
03SC,22.250400000000003,33.8650016784668,-78.66190338134766,
03TA,153.924,30.262699,-96.500198,
03TE,182.88,27.490812,-98.669615,
03TN,304.8,35.92250061035156,-83.57939910888672,
03TS,556.26,31.4658,-100.43397,
03TT,35.6616,29.632117,-95.932481,
03TX,15.24,29.580929,-95.30508,
03UT,1620.0120000000002,37.114384,-109.99014,
03VA,76.2,38.66460037231445,-77.57969665527344,
03WA,743.712,47.408199310302734,-117.37200164794922,
03WI,268.224,44.028873,-88.883945,
03WN,707.1360000000001,45.875,-120.66999816894531,
03WT,11.5824,48.524894,-122.912394,
03XA,1182.9288000000001,31.7574,-106.346895,
03XS,640.08,31.318099975585938,-100.75399780273438,
04AA,76.2,60.535833,-150.811387,
04AL,209.0928,33.62639999,-85.96720123,
04AN,287.4264,61.737511,-148.700724,
04AR,131.064,34.574319,-92.586047,
04AZ,1680.972,36.147197,-109.560771,
04CA,920.4960000000001,34.566631,-117.670666,
04CL,704.0880000000001,33.08169937133789,-116.44100189208984,
04CT,268.224,41.75510025024414,-73.05239868164062,
04F,394.1064,32.098801,-98.525325,
04FA,2.7432000000000003,25.558700561523438,-80.51509857177734,
04FD,11.277600000000001,27.929372,-82.336981,
04FL,9.144,29.240353,-81.222525,
04I,280.416,39.91151,-83.188577,
04IA,244.1448,41.08829879760742,-92.05460357666016,
04ID,714.1464000000001,43.877015,-116.538365,
04II,233.17200000000003,41.1306,-84.994102,
04IL,230.12400000000002,40.6375007629,-89.0070037842,
04IN,290.7792,41.701389,-85.113056,
04IS,221.89440000000002,40.1786003112793,-88.56900024414062,
04KS,254.508,38.978901,-95.219704,
04KY,216.40800000000002,37.135101318359375,-85.78939819335938,
04LA,3.048,30.051001,-90.703848,
04LL,228.60000000000002,42.136101,-88.287598,
04LS,15.8496,30.44610023498535,-91.10530090332031,
04MA,60.96,42.810908,-71.140959,
04MD,12.192,39.51810073852539,-75.82140350341797,
04ME,190.5,44.66669845581055,-69.8938980102539,
04MI,268.224,42.53450012207031,-84.62830352783203,
04MN,364.236,47.985801696777344,-94.68689727783203,
04MO,233.78160000000003,39.301201,-91.4515,
04MS,30.48,32.940537,-90.836683,
04MT,827.532,47.13749777779999,-106.488095,
04NC,135.636,35.739200592,-78.7822036743,
04NE,925.0680000000001,41.159999847399995,-101.299003601,
04NJ,47.244,39.596801757799994,-75.2334976196,
04NR,12.192,34.775671,-77.392244,
04NV,798.576,35.7555007935,-115.665000916,
04NY,76.2,42.262298584,-73.6961975098,
04OG,56.388000000000005,45.530833,-123.085556,
04OH,329.184,41.2477,-81.100701,
04OK,299.9232,36.1152992249,-97.079498291,
04OR,457.20000000000005,44.7499008179,-120.200996399,
04PA,15.24,39.87929916379999,-75.2287979126,
04PN,97.536,40.0306619,-75.63021,
04SC,302.9712,34.842188,-82.60714,
04SD,742.7976,44.993013,-101.24311,
04TA,164.592,30.270262,-97.745275,
04TE,14.9352,29.699687,-95.39069,
04TN,435.86400000000003,36.183300018299995,-82.67890167239999,
04TS,210.312,30.553284,-97.605358,
04TT,472.44,29.713072,-99.545642,
04TX,172.21200000000002,31.732779,-97.369326,
04UT,1877.568,37.006689,-110.794701,
04V,2385.3648000000003,38.0990833,-106.1743889,
04VA,610.8192,36.898246,-82.078477,
04VG,15.24,37.706546,-77.201621,
04VT,657.1488,44.4011001587,-72.26360321039999,
04W,311.2008,46.0228,-92.895401,
04WA,714.7560000000001,47.581795,-117.437131,
04WI,231.64800000000002,42.523399353,-88.0167007446,
04WN,460.24800000000005,46.95835,-119.63864,
04WV,346.55760000000004,39.6536111111,-79.9561111111,
04XA,344.42400000000004,33.283933,-98.402861,
04XS,190.5,32.5821,-97.142502,
05AK,188.976,61.66830063,-149.1880035,
05AL,111.25200000000001,31.2311992645,-85.64969635010002,
05AN,242.316,64.960472,-147.601092,
05AR,579.12,36.000633,-93.57025,
05AZ,60.96,32.683452,-114.634346,
05B,134.112,47.158901,-67.931999,
05CA,270.6624,34.136516,-118.714685,
05CL,188.3664,38.6106987,-122.39099884,
05CO,1517.2944,40.214984,-104.984423,
05CT,182.88,41.7737007141,-73.1162033081,
05FA,89.91600000000001,30.918899536132812,-86.21829986572266,
05FD,1.8288000000000002,25.960899353027344,-80.13919830322266,
05FL,10.972800000000001,26.52018,-81.41031,
05GA,190.5,32.0713996887207,-84.71440124511719,
05IA,352.04400000000004,43.13750076293945,-93.06829833984375,
05ID,904.9512000000001,45.914101,-114.835999,
05II,242.316,41.028702,-84.9972,
05IL,193.548,41.156700134277344,-88.0167007446289,
05IN,262.128,39.641998291015625,-86.50420379638672,
05IS,184.404,39.72589874267578,-89.26399993896484,
05KS,288.036,37.26620101928711,-95.95919799804688,
05KT,268.224,38.187091,-84.93011,
05KY,326.136,37.53575,-84.407303,
05LA,23.1648,32.265301,-91.6978,
05LL,216.40800000000002,41.749228,-87.935783,
05LS,25.2984,31.252148,-92.47569,
05M,277.6728,34.71979,-97.214237,
05MA,24.384,42.691200256347656,-70.91230010986328,
05MD,6.096,39.244232,-76.198661,
05ME,21.336000000000002,44.65700149536133,-67.55919647216797,
05MI,189.2808,42.236433,-83.276421,
05MN,440.74080000000004,47.5175001,-92.2302778,
05MO,82.9056,36.429798,-89.680099,
05MS,109.42320000000001,32.32973,-90.16273,
05MT,1330.1472,45.815368,-111.152163,
05NC,19.2024,34.008099,-78.2911,
05NE,612.648,41.7221984863,-98.3089981079,
05NH,60.96,42.92390060424805,-70.95140075683594,
05NJ,2.1336,40.713385,-74.03203,
05NR,205.74,36.168415,-79.276908,
05NV,1578.864,39.0311,-114.088219,
05NY,135.636,43.551998138427734,-76.09020233154297,
05OG,126.492,44.059531,-123.118951,
05OH,295.0464,40.184513,-81.920564,
05OI,252.984,41.28839874267578,-81.96260070800781,
05OK,327.66,35.8534,-97.567497,
05OR,1066.8,45.44428,-117.34722,
05PA,33.528,39.9548,-75.178201,
05PN,147.828,40.30009841918945,-76.85800170898438,
05PS,368.808,40.143075,-77.86221,
05S,197.2056,45.85150146484375,-123.24199676513672,
05TA,84.12480000000001,29.809099197387695,-96.26509857177734,
05TE,289.56,30.72209930419922,-97.79139709472656,
05TN,86.86800000000001,35.556998,-89.552903,
05TS,228.60000000000002,33.12929916381836,-97.35859680175781,
05TX,185.3184,32.128974,-97.404582,
05UT,1474.6224,37.033626,-110.315778,
05V,2353.056,37.41109848022461,-105.552001953125,
05VA,135.636,37.22420120239258,-78.4186019897461,
05VT,20.7264,45.013301849365234,-73.08670043945312,
05WA,676.6560000000001,47.64820098876953,-117.41400146484375,
05WI,291.9984,42.651100158691406,-88.74590301513672,
05WN,478.536,48.702222,-118.0475,
05XA,1116.7872,35.863631,-101.970944,
05XS,32.004000000000005,33.079498,-91.561391,
05Y,443.48400000000004,46.303799,-95.439499,
06AA,79.248,60.540256,-150.813827,
06AK,129.54000000000002,61.627619,-149.575331,
06AL,126.492,31.388399124145508,-85.97239685058594,
06AR,152.0952,35.544498443603516,-92.18489837646484,
06AZ,390.144,33.287759,-111.751454,
06B,35.052,44.907001,-68.805,
06CA,591.9216,34.868942,-116.832024,
06CL,158.496,35.15719985961914,-118.28900146484375,
06CO,1554.48,37.385754,-103.691482,
06FA,8.5344,26.90839958190918,-80.32890319824219,
06FD,32.004000000000005,28.641700744628906,-81.88500213623047,
06FL,0.9144000000000001,27.953527,-82.806222,
06GA,324.612,33.75339889526367,-84.16210174560547,
06I,163.3728,38.43339920043945,-86.69110107421875,
06IA,268.224,41.841400146484375,-91.83429718017578,
06ID,838.2,43.46269989013672,-116.35900115966797,
06IL,215.79840000000002,41.5994987487793,-88.86990356445312,
06IS,211.836,40.5463981628418,-91.27429962158203,
06KS,405.9936,37.69580078125,-97.37249755859375,
06KY,228.90480000000002,37.525902,-83.344901,
06LA,,29.84606,-90.03216,
06LL,247.4976,41.872301,-88.491982,
06LS,25.908,30.70789909362793,-91.32019805908203,
06MA,64.00800000000001,42.69060134887695,-71.60900115966797,
06MD,40.2336,39.291401,-76.546303,
06ME,197.8152,44.415247,-70.844275,
06MI,298.0944,42.251025,-84.391319,
06MO,230.12400000000002,39.23059844970703,-94.80439758300781,
06MT,1079.2968,48.558696,-112.117095,
06N,159.4104,41.431999,-74.391602,
06NC,49.6824,34.82749938964844,-78.9302978515625,
06ND,664.464,46.7489013671875,-101.66899871826172,
06NE,309.372,40.68000030517578,-95.86170196533203,
06NH,48.768,42.92839813232422,-70.97309875488281,
06NJ,7.62,39.950102,-74.999603,
06NV,1693.4688,39.098333,-114.150277,
06NY,335.28000000000003,42.836797,-76.437614,
06O1,310.896,41.11479949951172,-80.65699768066406,
06OH,353.56800000000004,41.50979995727539,-80.59120178222656,
06OI,278.892,39.734798431396484,-84.3822021484375,
06OK,274.32,36.54169845581055,-94.83360290527344,
06OR,259.08000000000004,45.4650993347168,-123.08000183105469,
06PA,438.91200000000003,41.995792,-78.288152,
06PN,221.58960000000002,40.382733,-76.772533,
06PS,231.64800000000002,40.40230178833008,-79.92130279541016,
06R,88.08720000000001,29.941065,-96.245298,
06SN,408.432,37.581088,-97.2575,
06TA,146.304,30.90850067138672,-97.11689758300781,
06TE,39.3192,30.312700271606445,-95.02690124511719,
06TN,195.072,35.696962,-86.957767,
06TS,106.68,32.120701,-96.179101,
06TT,659.892,30.860024,-100.201996,
06TX,65.532,30.057919,-95.812489,
06VA,353.56800000000004,38.249000549316406,-78.85530090332031,
06WA,613.5624,47.68629837036133,-117.197998046875,
06WI,327.66,45.662701,-92.450203,
06WN,120.0912,46.92499923706055,-122.5530014038086,
06XA,238.9632,33.445914,-96.57079,
06XS,166.4208,33.322933,-97.045019,
06Y,325.5264,45.83000183105469,-96.16059875488281,
07AA,108.81360000000001,61.695964,-149.954903,
07AL,40.2336,31.125200271606445,-85.9791030883789,
07AN,429.15840000000003,62.825556,-149.910807,
07AR,91.44,35.194339,-92.802473,
07AZ,382.524,33.5667,-112.069,
07B,109.72800000000001,44.448001861572266,-68.5697021484375,
07CA,259.08000000000004,35.138949,-119.451463,
07CL,30.48,39.49769973754883,-121.77100372314453,
07CO,2017.776,39.26359939575195,-104.427001953125,
07CT,131.064,41.4529,-72.249603,
07D,232.86720000000003,43.064499,-82.723801,
07FA,2.4384,25.325399398804,-80.274803161621,OCA
07FD,27.432000000000002,30.417999,-83.283796,
07FL,5.486400000000001,26.6054,-81.859497,
07GA,228.60000000000002,33.674263,-83.764637,
07GE,102.108,31.555662,-83.27849,
07I,163.9824,39.05870056152344,-86.44609832763672,
07IA,295.9608,40.647888,-95.02135,
07ID,1395.9840000000002,42.274991,-113.301229,
07II,225.55200000000002,39.01060104370117,-85.64080047607422,
07IN,228.60000000000002,39.573699951171875,-85.91390228271484,
07K,523.3416,41.1125984192,-98.0516967773,
07KS,402.6408,37.73419952392578,-96.93669891357422,
07KY,162.1536,38.08060073852539,-85.69329833984375,
07LA,,29.937099,-90.183701,
07LS,24.384,32.51825,-91.989093,
07MA,45.415200000000006,41.91699981689453,-70.70950317382812,
07MD,213.36,39.608299255371094,-77.0519027709961,
07ME,76.2,43.73830032348633,-70.33920288085938,
07MI,324.612,43.864200592041016,-85.0239028930664,
07MN,512.0640000000001,44.05500030517578,-95.90950012207031,
07MO,268.224,38.655553,-93.624458,
07MT,841.8576,48.421101,-106.528,
07N,143.256,40.0168,-77.003899,
07NC,190.5,34.83319854736328,-80.7511978149414,
07NH,427.9392,43.17559814453125,-72.06390380859375,
07NJ,3.048,40.793666,-73.994863,
07NV,1560.576,39.102239,-114.053472,
07NY,402.336,42.66640090942383,-74.76499938964844,
07OH,312.42,39.9373,-81.683503,
07OK,402.9456,34.633399963378906,-99.03369903564453,
07OR,76.2,45.42179870605469,-122.62000274658203,
07PN,515.1120000000001,40.998889,-78.125278,
07PR,88.08720000000001,18.489403,-67.026333,
07SN,598.932,39.7728,-99.3601,
07TA,9.144,29.240519,-95.344658,
07TE,11.8872,27.7211,-97.512802,CUX
07TN,295.656,35.5686,-84.241096,
07TS,210.312,30.625381,-97.571425,
07TX,201.168,33.183998107910156,-96.447998046875,
07UT,1365.5040000000001,41.716667,-112.447222,
07VA,106.68,36.81959915161133,-78.78309631347656,
07VT,244.1448,44.447200775146484,-72.91470336914062,
07WA,643.128,47.651637,-117.424477,
07WI,301.752,42.965302,-88.391502,
07WY,1241.7552,44.960084,-106.105925,
07XA,137.4648,29.906488,-97.214397,
07XS,256.03200000000004,32.542198181152344,-97.3917007446289,
07Y,392.8872,46.955501556396484,-93.5969009399414,
08AK,60.96,61.568743,-149.725757,
08AL,2.4384,30.243717,-87.754678,
08AN,271.8816,61.704295,-149.212506,
08AR,62.7888,35.142046,-90.190212,
08AZ,377.952,33.417669,-111.838835,
08B,19.812,44.0,-69.88710021972656,
08CA,551.688,38.695211,-120.826086,
08CL,312.42,37.858272,-120.552079,
08CN,82.296,36.172031,-119.306181,
08CO,1706.88,38.73249816894531,-104.04100036621094,
08CT,268.5288,41.895999908447266,-73.09310150146484,
08F,187.452,34.53179931640625,-96.23310089111328,
08FA,10.668000000000001,26.57979965209961,-81.48370361328125,
08FD,19.812,27.363100051879883,-80.77279663085938,
08FL,31.3944,27.08449935913086,-81.32869720458984,
08G,292.608,40.11090087890625,-81.52619934082031,
08GA,3.6576000000000004,31.425800323486328,-81.28589630126953,
08ID,816.864,43.56930160522461,-116.7770004272461,
08II,287.4264,41.645085,-85.426386,
08IL,195.9864,41.577,-89.793999,
08IN,247.4976,41.223056,-85.830556,
08IS,121.92,37.977798461899994,-89.20290374759999,
08KS,381.0,39.034698486328125,-97.58000183105469,
08KT,132.588,37.628414,-87.946994,
08KY,249.936,36.972599029541016,-84.6260986328125,
08LA,1.2192,29.952999114990234,-90.18260192871094,
08LL,202.692,41.074423,-88.488693,
08LS,15.5448,30.40829,-92.033444,
08MA,109.72800000000001,42.29399871826172,-71.49620056152344,
08MD,143.256,39.388411,-76.610815,
08ME,168.85920000000002,44.81539,-70.34851,
08MI,310.5912,42.734474,-84.536046,
08MN,418.1856,47.66939926147461,-93.05439758300781,
08MO,291.084,37.395599,-94.283798,
08MS,105.156,34.661506,-89.869628,
08MT,1051.56,47.065679,-108.809624,
08N,167.64000000000001,40.291801,-76.328796,
08NC,228.60000000000002,36.06760025024414,-80.4655990600586,
08ND,606.552,47.32310104370117,-102.0979995727539,
08NE,447.14160000000004,42.430484,-97.078731,
08NH,174.95520000000002,44.0612983704,-71.1358032227,
08NJ,130.7592,40.76259994506836,-74.30400085449219,
08NR,655.32,35.217541,-82.426,
08NY,198.12,41.368099212646484,-74.50559997558594,
08OH,374.904,41.29169845581055,-80.5636978149414,
08OK,193.548,34.93149948120117,-95.25830078125,
08OL,462.68640000000005,35.408087,-98.605477,
08OR,1520.952,42.838,-121.11509,
08PA,552.2976,41.055358,-75.512039,
08PN,94.488,40.0458984375,-76.28079986572266,
08R,39.624,41.489498,-71.620598,
08SD,464.21040000000005,43.325923,-98.345152,
08TA,368.1984,29.97842,-98.258418,
08TE,441.04560000000004,29.975331,-98.742451,
08TN,249.936,35.298914,-86.474357,
08TS,128.01600000000002,26.881331,-98.504885,
08TT,626.0592,30.308803,-99.022228,
08TX,316.992,32.85789,-97.744303,
08U,1949.8056000000001,41.515701,-115.860001,
